Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
RAC1,"p21-Rac1, Rac-1, TC-25",ENSG00000136238,Rac family small GTPase 1,P63000,7,6374527-6403967,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins",,Hydrolase,"Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Esophageal apical cells: 6771.9;Esophageal suprabasal cells: 2039.8;Gastric progenitor cells: 1777.7,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Skin - Keratinocyte (other),Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB035994, HPA047820",Approved,,Supported,"Nucleoplasm,Nucleoli,Cytosol",,,NA,NA,,3400000,Cluster 7: Non-specific - Innate immune response,Cluster 3: Oligodendrocytes - Myelination,Cluster 28: Oligodendrocytes - Mixed function,Cluster 67: Non-specific - Unknown function,Cluster 84: Apical squamous epithelium - Cornification,220,"Nucleoplasm, Cytosol",Nucleoli,"CAB035994: , HPA047820: ",unprognostic (7.44e-2),unprognostic (3.14e-2),potential prognostic unfavorable (2.03e-4),unprognostic (2.19e-1),unprognostic (1.53e-1),unprognostic (2.41e-1),unprognostic (1.58e-2),unprognostic (1.20e-3),unprognostic (1.25e-2),unprognostic (4.46e-3),unprognostic (1.36e-2),unprognostic (9.96e-3),unprognostic (3.09e-2),validated prognostic unfavorable (1.12e-5),validated prognostic unfavorable (2.76e-5),potential prognostic unfavorable (6.87e-6),unprognostic (6.29e-3),unprognostic (2.20e-1),unprognostic (2.70e-2),unprognostic (8.72e-2),unprognostic (2.57e-3),potential prognostic unfavorable (1.16e-4),unprognostic (7.07e-2),unprognostic (5.64e-2),unprognostic (3.21e-1),unprognostic (9.53e-2),unprognostic (1.20e-1),unprognostic (1.87e-1),unprognostic (6.45e-3),unprognostic (4.42e-1),unprognostic (1.79e-1)
RAD21,"hHR21, KIAA0078, SCC1",ENSG00000164754,RAD21 cohesin complex component,O60216,8,116845934-116874776,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins","Apoptosis, Cell cycle, Cell division, Chromosome partition, DNA damage, DNA repair, Mitosis, Transcription, Transcription regulation","Activator, Developmental protein, DNA-binding, Repressor","Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Late spermatids: 737.1,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA020044, CAB022065, HPA073277",Supported,,Enhanced,Nucleoplasm,,,NA,Yes,,,Cluster 3: Non-specific - Nuclear processes,Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation,Cluster 28: Oligodendrocytes - Mixed function,Cluster 40: Non-specific - Unknown function,Cluster 27: Non-specific - Cell proliferation,79,Nucleoplasm,,"CAB022065: , HPA020044: , HPA073277: ",unprognostic (5.78e-2),unprognostic (5.76e-2),unprognostic (2.16e-1),unprognostic (1.24e-3),unprognostic (1.14e-1),unprognostic (8.08e-3),unprognostic (6.80e-2),unprognostic (6.18e-2),unprognostic (1.25e-1),potential prognostic unfavorable (3.58e-5),potential prognostic favorable (2.87e-5),unprognostic (3.26e-2),unprognostic (1.07e-1),unprognostic (8.11e-3),potential prognostic unfavorable (6.22e-4),potential prognostic unfavorable (9.23e-4),unprognostic (1.83e-3),unprognostic (2.85e-2),unprognostic (9.44e-2),unprognostic (1.63e-1),unprognostic (1.93e-1),unprognostic (1.69e-2),unprognostic (5.27e-3),unprognostic (2.66e-2),unprognostic (1.82e-1),unprognostic (1.56e-1),unprognostic (6.60e-2),unprognostic (3.05e-1),unprognostic (1.97e-1),unprognostic (2.17e-2),unprognostic (1.68e-1)
RAD51B,"hREC2, R51H2, RAD51L1, REC2",ENSG00000182185,RAD51 paralog B,O15315,14,67819779-68730218,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins","DNA damage, DNA recombination, DNA repair",DNA-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Pituitary stem cells: 1279.5;Renal connecting tubule cells: 936.1,Cell type enhanced,Detected in all,,central nervous system macrophage: 800.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Minor Salivary Gland - Minor salivary glandular cells, Skeletal muscle - Fibroblasts",Low region specificity,Detected in some,,,Low region specificity,Detected in all,,,"CAB016191, HPA051869",Enhanced,,Approved,"Nucleoplasm,Nuclear bodies",,,NA,NA,,,Cluster 32: Basophils - Transcription,Cluster 55: Breast - Lactation,Cluster 11: White matter - Signal transduction,Cluster 30: Non-specific - Gene expression regulation,Cluster 94: Gonadal somatic cells - Mixed function,17,Nuclear bodies,Nucleoplasm,"CAB016191: , HPA051869: ",potential prognostic unfavorable (8.07e-4),unprognostic (6.23e-2),,unprognostic (1.19e-1),unprognostic (7.10e-2),unprognostic (3.37e-2),unprognostic (1.94e-1),unprognostic (7.40e-2),unprognostic (3.11e-3),unprognostic (5.22e-2),potential prognostic favorable (7.92e-4),unprognostic (1.76e-2),unprognostic (1.33e-1),unprognostic (1.70e-2),unprognostic (7.30e-3),unprognostic (1.95e-1),unprognostic (8.08e-2),unprognostic (5.16e-2),unprognostic (1.92e-1),unprognostic (2.90e-1),unprognostic (3.34e-1),unprognostic (1.28e-2),unprognostic (1.46e-3),unprognostic (2.98e-1),unprognostic (1.44e-2),unprognostic (1.72e-1),unprognostic (2.36e-1),unprognostic (3.73e-2),unprognostic (5.05e-2),unprognostic (1.07e-1),unprognostic (1.85e-1)
RAF1,"c-Raf, CRAF, Raf-1",ENSG00000132155,"Raf-1 proto-oncogene, serine/threonine kinase",P04049,3,12582101-12664201,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins",,"Kinase, Serine/threonine-protein kinase, Transferase","Cancer-related genes, Cardiomyopathy, Deafness, Disease variant, FDA approved drug targets, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,skeletal muscle: 163.1,Cell type enhanced,Detected in all,,Neutrophils: 859.1,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 150.3,Lineage enriched,Detected in all,5,granulocytes: 150.3,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA002639, HPA002640, CAB019291, CAB080384",Approved,,Supported,"Plasma membrane,Cytosol",,,NA,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 63: Non-specific - Basic cellular processes,Cluster 25: Non-specific - Transcription,Cluster 8: Non-specific - Basic cellular processes,Cluster 24: Neutrophils - Innate immunity signal integration,284,"Plasma membrane, Cytosol",,"CAB019291: , CAB080384: , HPA002639: , HPA002640: ",unprognostic (9.22e-2),unprognostic (2.30e-2),unprognostic (3.02e-1),unprognostic (3.44e-1),unprognostic (3.49e-1),unprognostic (1.52e-1),unprognostic (3.23e-1),potential prognostic favorable (3.08e-5),unprognostic (1.08e-2),potential prognostic unfavorable (4.06e-4),potential prognostic favorable (2.76e-5),unprognostic (8.03e-2),unprognostic (1.57e-2),unprognostic (5.91e-3),unprognostic (5.31e-2),unprognostic (1.15e-1),unprognostic (9.58e-2),unprognostic (2.15e-1),unprognostic (1.22e-1),unprognostic (4.47e-2),unprognostic (2.75e-2),unprognostic (5.12e-3),unprognostic (8.51e-3),unprognostic (1.22e-1),unprognostic (1.24e-1),unprognostic (3.08e-2),unprognostic (1.97e-1),unprognostic (1.62e-1),unprognostic (2.75e-1),unprognostic (2.03e-1),unprognostic (1.24e-1)
RANBP2,"ADANE, ANE1, NUP358",ENSG00000153201,RAN binding protein 2,P49792,2,108719482-108785810,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters","mRNA transport, Protein transport, Translocation, Transport, Ubl conjugation pathway","RNA-binding, Transferase",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Innate lymphoid cells: 547.3;Mast cells: 554.3;pDCs: 537.2,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Spermatocytes,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA018437, HPA018445, HPA023960, CAB034063, HPA049497, HPA051675, HPA067564",Supported,,Supported,"Nucleoplasm,Nuclear membrane,Vesicles,Cytosol",,,NA,NA,,41000,Cluster 1: T-cells - Unknown function,Cluster 63: Non-specific - Basic cellular processes,Cluster 31: Non-specific - Transcription,Cluster 26: Non-specific - Mitochondria & RNA binding,Cluster 103: Non-specific - Basic cellular processes,93,Nuclear membrane,"Nucleoplasm, Vesicles, Cytosol","CAB034063: , HPA018437: , HPA018445: , HPA023960: , HPA049497: , HPA051675: , HPA067564: ",unprognostic (3.51e-1),unprognostic (1.30e-1),unprognostic (2.15e-1),unprognostic (6.22e-2),unprognostic (3.80e-1),unprognostic (4.66e-2),unprognostic (5.09e-2),unprognostic (4.63e-2),unprognostic (1.59e-1),unprognostic (1.09e-2),potential prognostic favorable (5.17e-8),unprognostic (3.15e-3),unprognostic (3.45e-2),unprognostic (7.04e-2),unprognostic (1.42e-1),unprognostic (1.17e-1),unprognostic (1.14e-1),unprognostic (2.03e-2),unprognostic (9.41e-2),unprognostic (1.87e-1),unprognostic (1.50e-3),unprognostic (9.39e-2),unprognostic (2.47e-2),unprognostic (5.24e-2),unprognostic (2.49e-2),unprognostic (2.21e-2),unprognostic (2.48e-1),unprognostic (8.23e-2),unprognostic (9.86e-2),unprognostic (3.30e-2),unprognostic (1.89e-1)
RAP1GDS1,SmgGDS,ENSG00000138698,Rap1 GTPase-GDP dissociation stimulator 1,P52306,4,98261384-98443858,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",,Guanine-nucleotide releasing factor,"Cancer-related genes, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Cone photoreceptor cells: 480.3;Rod photoreceptor cells: 503.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Early spermatids,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA019060, HPA048820",Approved,,Supported,Cytosol,,,NA,NA,,92000,Cluster 13: Non-specific - Mitochondria,Cluster 3: Oligodendrocytes - Myelination,Cluster 26: Oligodendrocytes - Mixed function,Cluster 22: Non-specific - mRNA splicing & Cell cycle,Cluster 92: NK-cells & T-cells - Adaptive immunity: Cytotoxicity,33,Cytosol,,"HPA019060: , HPA048820: ",unprognostic (1.70e-1),unprognostic (1.13e-2),potential prognostic unfavorable (7.91e-4),unprognostic (1.14e-1),unprognostic (1.95e-2),unprognostic (4.11e-2),unprognostic (4.99e-2),unprognostic (1.44e-1),unprognostic (1.80e-1),unprognostic (2.51e-1),potential prognostic favorable (1.05e-7),unprognostic (1.65e-2),unprognostic (6.91e-2),potential prognostic unfavorable (3.86e-4),unprognostic (2.47e-1),unprognostic (2.44e-2),unprognostic (2.58e-2),unprognostic (2.94e-2),unprognostic (2.37e-2),unprognostic (4.07e-2),unprognostic (4.74e-2),unprognostic (1.96e-1),unprognostic (4.03e-2),unprognostic (2.19e-1),unprognostic (3.33e-2),unprognostic (2.78e-1),unprognostic (2.63e-1),unprognostic (1.86e-1),unprognostic (1.41e-1),unprognostic (1.37e-1),unprognostic (1.96e-1)
RARA,"NR1B1, RAR, RAR-alpha, RARalpha",ENSG00000131759,Retinoic acid receptor alpha,P10276,17,40309180-40357643,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","DNA-binding, Receptor","Cancer-related genes, FDA approved drug targets, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Early spermatids: 170.1;Late spermatids: 303.7;monocytes: 112.6;Neutrophils: 281.0,Cell type enhanced,Detected in many,,leukocyte: 42.4,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 52.8,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Spleen - Neutrophils_2,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA058282, HPA071548",,,Supported,"Nucleoplasm,Nucleoli,Actin filaments,Cytosol",,,NA,NA,,,Cluster 7: Non-specific - Innate immune response,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 40: Astrocytes - Astrocyte-neuron interactions,Cluster 27: Breast cancer - Unknown function,Cluster 29: Neutrophils - Innate immune cellular maintenance,104,Nucleoplasm,"Nucleoli, Actin filaments, Cytosol","HPA058282: , HPA071548: ",unprognostic (1.53e-2),unprognostic (1.93e-1),unprognostic (8.07e-2),unprognostic (2.99e-3),unprognostic (2.55e-1),unprognostic (8.95e-2),unprognostic (9.26e-3),unprognostic (2.45e-1),unprognostic (1.13e-2),unprognostic (9.12e-2),potential prognostic favorable (9.68e-4),unprognostic (1.09e-2),unprognostic (2.88e-1),unprognostic (2.62e-1),unprognostic (1.43e-1),unprognostic (1.27e-1),unprognostic (4.02e-2),unprognostic (6.10e-2),unprognostic (1.22e-1),unprognostic (1.85e-2),unprognostic (1.07e-1),unprognostic (1.28e-1),unprognostic (1.27e-1),unprognostic (2.21e-1),unprognostic (7.92e-2),unprognostic (4.01e-2),unprognostic (1.87e-1),unprognostic (6.51e-3),unprognostic (3.65e-2),unprognostic (6.68e-2),unprognostic (3.15e-3)
RB1,"OSRC, PPP1R130, RB",ENSG00000139687,RB transcriptional corepressor 1,P06400,13,48303744-48599436,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Cell cycle, Host-virus interaction, Transcription, Transcription regulation","Chromatin regulator, DNA-binding, Repressor","Cancer-related genes, Disease variant, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Melanocytes: 563.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adipose visceral - Endothelial cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB000095, CAB016687, HPA050082",Supported,,Supported,"Nucleoplasm,Primary cilium transition zone",,,NA,NA,,,Cluster 23: B-cells - Immunoglobulins,Cluster 61: Non-specific - Transcription,Cluster 55: Non-specific - Transcription,Cluster 19: Non-specific - Unknown function,Cluster 71: Non-specific - Cardiac endocrine signaling & maintenanc,218,Nucleoplasm,Primary cilium transition zone,"CAB000095: , CAB016687: , HPA050082: ",unprognostic (1.68e-1),unprognostic (3.92e-2),unprognostic (5.31e-2),unprognostic (1.54e-2),unprognostic (2.25e-2),unprognostic (8.89e-2),unprognostic (6.26e-2),unprognostic (3.24e-1),unprognostic (1.04e-1),unprognostic (1.12e-1),potential prognostic favorable (2.72e-8),unprognostic (4.20e-2),unprognostic (1.61e-1),unprognostic (1.82e-2),unprognostic (3.78e-2),unprognostic (3.83e-2),unprognostic (3.89e-3),unprognostic (1.88e-1),unprognostic (1.06e-1),potential prognostic unfavorable (9.67e-4),unprognostic (1.29e-3),unprognostic (2.31e-2),unprognostic (1.66e-1),unprognostic (1.50e-1),unprognostic (1.01e-1),unprognostic (9.63e-2),unprognostic (4.24e-2),unprognostic (3.03e-2),unprognostic (4.80e-2),unprognostic (1.21e-1),unprognostic (2.50e-1)
RBM10,"DXS8237E, GPATC9, GPATCH9, KIAA0122, S1-1, ZRANB5",ENSG00000182872,RNA binding motif protein 10,P98175,X,47145221-47186813,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins","mRNA processing, mRNA splicing",RNA-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA034972, HPA057372",Approved,,Enhanced,Nuclear speckles,,,NA,NA,,,Cluster 5: Non-specific - Cell proliferation,Cluster 64: Non-specific - Transcription,Cluster 15: Non-specific - Transcription,Cluster 36: Non-specific - mRNA processing,Cluster 49: Apical squamous epithelium - Epithelial barrier & keratinization,96,Nuclear speckles,,"HPA034972: , HPA057372: ",unprognostic (2.26e-1),unprognostic (1.17e-1),unprognostic (1.24e-1),unprognostic (2.67e-1),unprognostic (2.21e-1),unprognostic (1.20e-1),unprognostic (4.20e-1),potential prognostic favorable (7.92e-4),unprognostic (3.68e-2),unprognostic (7.27e-2),unprognostic (1.05e-1),unprognostic (2.21e-1),unprognostic (9.12e-3),potential prognostic unfavorable (1.60e-4),unprognostic (3.84e-2),unprognostic (6.83e-2),unprognostic (2.37e-3),unprognostic (1.81e-1),unprognostic (4.57e-2),unprognostic (1.57e-1),unprognostic (1.74e-3),unprognostic (1.39e-3),unprognostic (4.36e-2),unprognostic (1.12e-1),unprognostic (1.06e-1),unprognostic (5.63e-2),unprognostic (2.94e-2),unprognostic (7.91e-2),unprognostic (4.22e-2),unprognostic (1.37e-1),unprognostic (1.05e-1)
RBM15,"OTT, OTT1",ENSG00000162775,RNA binding motif protein 15,Q96T37,1,110338506-110346681,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Host-virus interaction,RNA-binding,"Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 42.3,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Kidney - Macrophages, Testis - Early spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB015201, HPA019824, HPA049642",Supported,,Enhanced,Nucleoplasm,,,NA,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 44: Bone marrow - Nuclear processes,Cluster 15: Non-specific - Transcription,Cluster 59: Leukemia - T-cell receptor,Cluster 27: Non-specific - Cell proliferation,40,Nucleoplasm,,"CAB015201: , HPA019824: , HPA049642: ",unprognostic (1.04e-1),unprognostic (3.13e-1),unprognostic (3.80e-1),unprognostic (4.31e-3),unprognostic (1.00e-1),unprognostic (2.13e-1),unprognostic (2.19e-1),unprognostic (3.33e-3),unprognostic (4.36e-2),unprognostic (4.90e-3),potential prognostic favorable (2.48e-4),unprognostic (6.99e-3),unprognostic (3.27e-1),potential prognostic unfavorable (2.66e-4),unprognostic (1.86e-2),potential prognostic unfavorable (3.65e-4),unprognostic (9.16e-2),unprognostic (1.42e-2),unprognostic (9.85e-3),unprognostic (3.93e-1),unprognostic (2.32e-1),unprognostic (4.36e-2),unprognostic (1.55e-2),unprognostic (3.89e-2),unprognostic (1.88e-2),unprognostic (3.58e-2),unprognostic (6.28e-2),unprognostic (1.21e-2),unprognostic (1.78e-1),unprognostic (2.06e-3),unprognostic (1.36e-1)
RECQL4,RecQ4,ENSG00000160957,RecQ like helicase 4,O94761,8,144511288-144517845,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,"DNA-binding, Helicase, Hydrolase, Isomerase","Cancer-related genes, Cataract, Craniosynostosis, Disease variant, Dwarfism, Ectodermal dysplasia, Hypotrichosis",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,bone marrow: 23.6;testis: 22.1,Cell type enhanced,Detected in many,,Breast lactating cells: 18.4;Differentiating spermatogonia: 22.0;Early primary spermatocytes: 32.4;Erythrocyte progenitors: 19.6;Megakaryocyte progenitors: 12.2;Monocyte progenitors: 13.9;Oocytes: 32.2;Undifferentiated spermatogonia: 11.7,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Mitotic cells (Adrenal gland), Spleen - Mitotic cells (Spleen), Stomach - Mitotic cells (Stomach)",Low region specificity,Detected in single,,,Low region specificity,Detected in single,,,"CAB017800, HPA025821",Supported,,Enhanced,Nucleoplasm,,,NA,Yes,,,Cluster 23: B-cells - Immunoglobulins,Cluster 44: Bone marrow - Nuclear processes,Cluster 37: Neurons - Mixed function,Cluster 40: Non-specific - Unknown function,Cluster 27: Non-specific - Cell proliferation,122,Nucleoplasm,,"CAB017800: , HPA025821: ",unprognostic (4.41e-1),unprognostic (8.06e-2),unprognostic (1.34e-1),unprognostic (1.36e-2),unprognostic (2.33e-1),unprognostic (3.24e-1),unprognostic (8.17e-2),unprognostic (2.33e-2),unprognostic (2.81e-2),unprognostic (2.52e-2),validated prognostic unfavorable (2.52e-7),validated prognostic unfavorable (2.80e-4),unprognostic (9.41e-3),validated prognostic unfavorable (3.86e-4),validated prognostic unfavorable (3.81e-6),potential prognostic unfavorable (1.76e-5),unprognostic (1.02e-2),unprognostic (1.11e-1),unprognostic (1.29e-1),unprognostic (8.81e-2),potential prognostic favorable (7.75e-4),unprognostic (4.67e-2),unprognostic (1.13e-3),unprognostic (1.99e-2),unprognostic (2.84e-1),unprognostic (1.36e-1),unprognostic (1.25e-2),unprognostic (1.32e-2),unprognostic (2.28e-1),unprognostic (3.87e-3),unprognostic (1.43e-1)
